Rk,Player,Position
2557,Sam Surridge,Centre-Forward
2558,Suso,Right Winger
2559,Yuito Suzuki,Attacking Midfield
2560,Mattias Svanberg,Central Midfield
2561,Mile Svilar,Goalkeeper
2562,Williot Swedberg,Attacking Midfield
2563,Issiaga Sylla,Left-Back
2565,Wojciech Szcz?sny,Goalkeeper
2566,Dominik Szoboszlai,Left Winger
2567,Alexander Sørloth,Centre-Forward
2569,Nicolás Tagliafico,Left-Back
2570,Jonathan Tah,Centre-Back
2571,Benjamin Tahirovic,Central Midfield
2572,Waniss Taibi,Attacking Midfield
2573,Flavien Tait,Central Midfield
2574,Montassar Talbi,Centre-Back
2575,Thibault Tamas,"['Series([], Name: TmPos, dtype: object)']"
2576,Adrien Tameze,Defensive Midfield
2577,Japhet Tanganga,Centre-Back
2578,Renato Tapia,Defensive Midfield
2579,Edmond Tapsoba,Centre-Back
2580,Florian Tardieu,Central Midfield
2581,Matt Targett,Left-Back
2582,James Tarkowski,Centre-Back
2583,Ciprian T?t?ru?anu,Goalkeeper
2584,Niklas Tauer,Defensive Midfield
2585,Nuno Tavares,Left-Back
2586,Marcus Tavernier,Left Winger
2587,Enzo Tchato,Centre-Back
2588,Aurélien Tchouaméni,Defensive Midfield
2589,Mathys Tel,Centre-Forward
2590,Semir Telalovic,Centre-Forward
2591,Alex Telles,Left-Back
2592,Marc-André ter Stegen,Goalkeeper
2593,Simon Terodde,Centre-Forward
2594,Filippo Terracciano,Central Midfield
2595,Pietro Terracciano,Goalkeeper
2596,Ramón Terrats,Defensive Midfield
2598,Martin Terrier,Left Winger
2599,Aleksa Terzi?,Left-Back
2600,Tetê,Right Winger
2602,Kenny Tete,Right-Back
2603,Florian Thauvin,Right Winger
2604,Arthur Theate,Centre-Back
2605,Malick Thiaw,Centre-Back
2607,Jan Thielmann,Right Winger
2608,Sada Thioub,Right Winger
2609,Luke Thomas,Left-Back
2610,Adrien Thomasson,Attacking Midfield
2612,Morten Thorsby,Central Midfield
2613,Kristian Thorstvedt,Attacking Midfield
2614,Khéphren Thuram,Central Midfield
2615,Marcus Thuram,Centre-Forward
2616,Alexis Tibidi,Centre-Forward
2617,Youri Tielemans,Central Midfield
2618,Kieran Tierney,Left-Back
2619,Steffen Tigges,Centre-Forward
2620,Jean-Clair Todibo,Centre-Back
2621,Harry Toffolo,Left-Back
2622,Umut Tohumcu,Central Midfield
2623,Karl Toko Ekambi,Left Winger
2625,Corentin Tolisso,Central Midfield
2626,Jeremy Toljan,Right-Back
2627,Rafael Tolói,Centre-Back
2628,Raúl de Tomás,Centre-Forward
2629,Tiago Tomás,Centre-Forward
2630,Takehiro Tomiyasu,Right-Back
2631,James Tomkins,Centre-Back
2632,Fikayo Tomori,Centre-Back
2633,Sandro Tonali,Defensive Midfield
2634,Lorenzo Tonelli,Centre-Back
2635,Ivan Toney,Centre-Forward
2636,Pablo Torre,Central Midfield
2637,David Torres,Centre-Back
2638,Ferrán Torres,Left Winger
2639,Óliver Torres,Central Midfield
2640,Pau Torres,Centre-Back
2641,Roberto Torres,Attacking Midfield
2642,Lucas Torró,Defensive Midfield
2643,Nabil Touaizi,Centre-Forward
2644,Almamy Touré,Centre-Back
2645,Birama Touré,Defensive Midfield
2646,Mohamed Toure,Centre-Forward
2647,Souleymane Touré,Centre-Back
2649,Lucas Tousart,Defensive Midfield
2650,Yoann Touzghar,Centre-Forward
2651,Adama Traoré,Right Winger
2652,Bertrand Traoré,Right Winger
2653,Boubacar Traoré,Central Midfield
2654,Charles Traore,Left-Back
2655,Hamari Traoré,Right-Back
2656,Kevin Trapp,Goalkeeper
2657,Mark Travers,Goalkeeper
2658,Óscar Trejo,Attacking Midfield
2659,Manu Trigueros,Central Midfield
2660,Christopher Trimmel,Right-Back
2661,Théo Trinker,"['Series([], Name: TmPos, dtype: object)']"
2662,Kieran Trippier,Right-Back
2663,William Troost-Ekong,Centre-Back
2664,Leandro Trossard,Left Winger
2666,Adrien Truffert,Left-Back
2667,Frank Tsadjout,Centre-Forward
2668,Kostas Tsimikas,Left-Back
2669,Theocharis Tsingaras,Central Midfield
2670,Viktor Tsyhankov,Right Winger
2671,Alessandro Tuia,Centre-Back
2672,Martin Turk,Goalkeeper
2673,Beñat Turrientes,Central Midfield
2674,Tuta,Centre-Back
2675,Destiny Udogie,Left-Back
2676,Ike Ugbo,Centre-Forward
2677,Lesley Ugochukwu,Defensive Midfield
2678,Samir Ujkani,Goalkeeper
2679,Sven Ulreich,Goalkeeper
2680,Lauren Ulrich,"['Series([], Name: TmPos, dtype: object)']"
2681,Samuel Umtiti,Centre-Back
2682,Enes Ünal,Centre-Forward
2683,Deniz Undav,Centre-Forward
2684,Cengiz Ünder,Right Winger
2685,Dayot Upamecano,Centre-Back
2686,Filip Uremovi?,Centre-Back
2687,Oscar Ureña,Right Winger
2688,Jere Uronen,Left-Back
2690,Mark Uth,Second Striker
2691,Josha Vagnoman,Right-Back
2692,Diego Valencia,Centre-Forward
2693,Óscar Valentín,Central Midfield
2694,Emanuele Valeri,Left-Back
2695,Yan Valery,Right-Back
2697,Martin Valjent,Centre-Back
2698,Jesús Vallejo,Centre-Back
2699,Manu Vallejo,Second Striker
2700,Mattia Valoti,Central Midfield
2701,Federico Valverde,Central Midfield
2702,Virgil van Dijk,Centre-Back
2703,Vanderson,Right-Back
2704,Raphaël Varane,Centre-Back
2705,Jamie Vardy,Centre-Forward
2706,Ruben Vargas,Left Winger
2707,Johan Vásquez,Centre-Back
2708,Jesus Vazquez,Left-Back
2709,Kevin Vázquez,Right-Back
2710,Lucas Vázquez,Right Winger
2711,Matías Vecino,Central Midfield
2712,Gabriel Veiga,Central Midfield
2713,Renato Veiga,Defensive Midfield
2714,Miloš Veljkovi?,Centre-Back
2715,Miguel Veloso,Defensive Midfield
2716,Joël Veltman,Right-Back
2717,Micky van de Ven,Centre-Back
2718,Unai Vencedor Paris,Central Midfield
2719,Lorenzo Venuti,Right-Back
2720,Daniele Verde,Right Winger
2721,Simone Verdi,Attacking Midfield
2722,Gonzalo Verdú,Centre-Back
2723,Jordan Veretout,Central Midfield
2724,Marco Verratti,Central Midfield
2725,Valerio Verre,Attacking Midfield
2726,Mikel Vesga,Defensive Midfield
2727,Guglielmo Vicario,Goalkeeper
2728,João Victor,Centre-Back
2729,Aleix Vidal,Right-Back
2730,Clément Vidal,Centre-Back
2731,Nacho Vidal,Right-Back
2732,Gabriel Vidovic,Second Striker
2733,Fabio Vieira,Attacking Midfield
2734,Ronaldo Vieira,Central Midfield
2736,Emanuel Vignato,Right Winger
2738,Samuele Vignato,Attacking Midfield
2739,Tonny Vilhena,Central Midfield
2740,Toni Villa,Left Winger
2742,Asier Villalibre,Centre-Forward
2743,Gonzalo Villar,Central Midfield
2745,Iván Villar,Goalkeeper
2746,Matías Viña,Left-Back
2748,Rúben Vinagre,Left-Back
2749,Carlos Vinícius,Centre-Forward
2750,Alan Virginius,Left Winger
2751,Mattia Viti,Centre-Back
2752,Vitinha,Central Midfield
2754,Daniel Vivian,Centre-Back
2755,Dušan Vlahovi?,Centre-Forward
2756,Nikola Vlaši?,Attacking Midfield
2757,Joel Voelkerling Persson,Centre-Forward
2758,Kevin Vogt,Centre-Back
2759,Mërgim Vojvoda,Right-Back
2760,Kevin Volland,Second Striker
2761,Cristian Volpato,Attacking Midfield
2762,Lukáš Vorlický,Left Winger
2763,Aster Vranckx,Central Midfield
2765,Stefan de Vrij,Centre-Back
2766,Robert Wagner,Central Midfield
2767,Elye Wahi,"['Series([], Name: TmPos, dtype: object)']"
2768,Walace,Defensive Midfield
2769,Theo Walcott,Right Winger
2770,Luca Waldschmidt,Second Striker
2771,Kyle Walker,Right-Back
2772,Kyle Walker-Peters,Right-Back
2773,Sebastian Walukiewicz,Centre-Back
2774,Aaron Wan-Bissaka,Right-Back
2775,Paul Wanner,Attacking Midfield
2776,Danny Ward,Goalkeeper
2777,Joel Ward,Right-Back
2778,James Ward-Prowse,Central Midfield
2779,Ollie Watkins,Centre-Forward
2780,Timothy Weah,Centre-Forward
2781,Adam Webster,Centre-Back
2782,Wout Weghorst,Centre-Forward
2783,Julian Weigl,Defensive Midfield
2784,Nelson Weiper,Centre-Forward
2785,Mitchell Weiser,Right-Back
2786,Noah Weißhaupt,Left Winger
2787,Shon Weissman,Centre-Forward
2788,Danny Welbeck,Centre-Forward
2789,Marcel Wenig,Central Midfield
2790,Axel Werner,Goalkeeper
2791,Timo Werner,Centre-Forward
2792,Ben White,Right-Back
2793,Harvey White,Defensive Midfield
2794,Joseph Whitworth,Goalkeeper
2795,Silvan Widmer,Right-Back
2796,Mateusz Wieteska,Centre-Back
2797,Georginio Wijnaldum,Central Midfield
2798,Iñaki Williams,Centre-Forward
2799,Neco Williams,Right-Back
2800,Nico Williams,Right Winger
2801,Willian,Left Winger
2802,Joe Willock,Central Midfield
2803,Callum Wilson,Centre-Forward
2804,Harry Wilson,Right Winger
2805,Patrick Wimmer,Right Winger
2806,Jonas Wind,Centre-Forward
2807,Harry Winks,Defensive Midfield
2808,Frederik Winther,Centre-Back
2809,Florian Wirtz,Attacking Midfield
2810,Przemys?aw Wi?niewski,Centre-Back
2811,Yoane Wissa,Left Winger
2812,Axel Witsel,Defensive Midfield
2813,Maximilian Wöber,Centre-Back
2814,Hannes Wolf,Attacking Midfield
2815,Marius Wolf,Right Winger
2816,Jeong Woo-yeong,Second Striker
2817,Chris Wood,Centre-Forward
2819,Christopher Wooh,Centre-Back
2821,Joe Worrall,Centre-Back
2822,Xeka,Central Midfield
2823,Granit Xhaka,Defensive Midfield
2824,Lamine Yamal,Right Winger
2825,Jawad El Yamiq,Centre-Back
2826,Ryan Yates,Central Midfield
2827,Yusuf Yaz?c?,Attacking Midfield
2828,Kelvin Yeboah,Centre-Forward
2829,Gerard Yepes,Defensive Midfield
2830,Darlin Yongwa,Left-Back
2831,Leny Yoro,Centre-Back
2832,Maya Yoshida,Centre-Back
2833,Ashley Young,Left-Back
2834,Mohamed Youssouf,Right-Back
2835,Illia Zabarnyi,Centre-Back
2836,Mattia Zaccagni,Attacking Midfield
2837,Dan-Axel Zagadou,Centre-Back
2838,Wilfried Zaha,Left Winger
2839,Warren Zaire-Emery,Defensive Midfield
2840,Denis Zakaria,Defensive Midfield
2842,Rodrigo Zalazar,Attacking Midfield
2843,Joseba Zaldúa,Right-Back
2844,Nicola Zalewski,Left Winger
2845,Andre-Frank Zambo Anguissa,Defensive Midfield
2846,Oliver Zandén,Left-Back
2847,Luca Zanimacchia,Right Winger
2848,Nicolò Zaniolo,Attacking Midfield
2849,Alessandro Zanoli,Right-Back
2851,Mattia Zanotti,Right-Back
2852,Duván Zapata,Centre-Forward
2853,Davide Zappacosta,Right-Back
2854,Oier Zarraga,Central Midfield
2855,Akim Zedadka,Right-Back
2857,Karim Zedadka,Left-Back
2858,Deyovaisio Zeefuik,Right-Back
2859,Marvin Zeegelaar,Left-Back
2860,Mehdi Zeffane,Right-Back
2861,Aaron Zehnter,Left-Back
2862,Jordan Zemura,Left-Back
2863,Arber Zeneli,Left Winger
2864,Robin Zentner,Goalkeeper
2865,Alessio Zerbin,Left Winger
2866,Michael Zetterer,Goalkeeper
2867,Nathan Zeze,Centre-Back
2868,Edon Zhegrova,Right Winger
2869,Piotr Zieli?ski,Attacking Midfield
2870,David Zima,Centre-Back
2871,Oleksandr Zinchenko,Left-Back
2872,Joshua Zirkzee,Centre-Forward
2873,Hakim Ziyech,Attacking Midfield
2874,Jeroen Zoet,Goalkeeper
2875,Simon Zoller,Centre-Forward
2876,Nadir Zortea,Right WingBack
2878,Tanguy Zoukrou,"['Series([], Name: TmPos, dtype: object)']"
2879,Kurt Zouma,Centre-Back
2880,Petar Zovko,Goalkeeper
2881,Igor Zubeldia,Centre-Back
2882,Martín Zubimendi,Defensive Midfield
2883,Szymon ?urkowski,Central Midfield
2885,Martin Ødegaard,Attacking Midfield
2886,Milan ?uri?,Centre-Forward
2887,Filip ?uri?i?,Attacking Midfield
2888,Blanco,Central Midfield
2889,Hugo Guillamón,Defensive Midfield
