Player,Unnamed: 1,Position
Roger Martí,,Centre-Forward
Anthony Martial,,Centre-Forward
Aarón Martín,,Left-Back
Ander Martin,,Right Winger
Andrés Martín,,Centre-Forward
Carlos Martín,,Centre-Forward
Iván Martín,,Attacking Midfield
Jonas Martin,,Defensive Midfield
Gabriel Martinelli,,Left Winger
Arnau Martinez,,Right-Back
Emiliano Martínez,,Goalkeeper
Iñigo Martínez,,Centre-Back
Lautaro Martínez,,Centre-Forward
Lisandro Martínez,,Centre-Back
Lucas Martínez Quarta,,Centre-Back
Roger Martínez,,  Centre-Forward
Gelson Martins,,Right Winger
Adam Marušić,,Right-Back
Omar Mascarell,,Defensive Midfield
Adam Masina,,Left-Back
Jordi Masip,,Goalkeeper
Erhan Mašović,,Centre-Back
Han-Noah Massengo,,Central Midfield
Yanis Massolin,,Central Midfield
Jaime Mata,,Centre-Forward
Pape Matar Sarr,,Defensive Midfield
Eliot Matazo,,Central Midfield
Jean-Philippe Mateta,,Centre-Forward
Nemanja Matić,,Defensive Midfield
Joël Matip,,Centre-Back
Henning Matriciani,,Right-Back
Chrislain Matsima,,Centre-Back
Jean Mattéo Bahoya,,Attacking Midfield
Azor Matusiwa,,Defensive Midfield
Neal Maupay,,Centre-Forward
Aïman Maurer,,attack
Stephy Mavididi,,Left Winger
Konstantinos Mavropanos,,Centre-Back
Christian Mawissa,,Centre-Back
Philipp Max,,Left-Back
Eric Maxim Choupo-Moting,,Centre-Forward
Luís Maximiano,,Goalkeeper
Keke Maximilian Topp,,Centre-Forward
Fernand Mayembo,,Centre-Back
Borja Mayoral,,Centre-Forward
Ibrahim Maza,,Centre-Forward
Derek Mazou-Sacko,,midfield
Noussair Mazraoui,,Right-Back
Pasquale Mazzocchi,,Right-Back
Kevin Mbabu,,Right-Back
Noah Mbamba,,"['Series([], Name: TmPos, dtype: object)']"
Kylian Mbappé,,Centre-Forward
Mamadou Mbaye,,Centre-Back
Chancel Mbemba,,Centre-Back
Bryan Mbeumo,,Right Winger
Jason Mbock,,Left Winger
Jean-Manuel Mbom,,Central Midfield
Nathanael Mbuku,,Left Winger
James McArthur,,Central Midfield
Alex McCarthy,,Goalkeeper
John McGinn,,Central Midfield
Scott McKenna,,Centre-Back
Weston McKennie,,Central Midfield
Dwight McNeil,,Left Winger
Scott McTominay,,Defensive Midfield
Gary Medel,,Centre-Back
Facundo Medina,,Centre-Back
Fernando Medrano,,Left-Back
Ben Mee,,Centre-Back
Bamo Meïté,,Defensive Midfield
Soualiho Meïté,,Central Midfield
Farid El Melali,,Right Winger
Gonzalo Melero,,Central Midfield
Birger Meling,,Left-Back
Memphis,,Centre-Forward
Houboulang Mendes,,Right-Back
Nuno Mendes,,Left-Back
Pedro Mendes,,   Centre-Back
Thiago Mendes,,Defensive Midfield
Brais Méndez,,Right Winger
Diego Méndez,,Defensive Midfield
Antoine Mendy,,Right-Back
Arial Mendy,,Left-Back
Batista Mendy,,Defensive Midfield
Edouard Mendy,,Goalkeeper
Ferland Mendy,,Left-Back
Nampalys Mendy,,Defensive Midfield
Gideon Mensah,,Left-Back
Chris Mepham,,Centre-Back
Jorge Meré,,Centre-Back
Alex Meret,,Goalkeeper
Mikel Merino,,Central Midfield
Quentin Merlin,,Left-Back
Yıldırım Mert Çetin,,Centre-Back
Roque Mesa,,Central Midfield
Illan Meslier,,Goalkeeper
Lionel Messi,,Right Winger
Junior Messias,,Right Winger
Amine Messoussa,,"['Series([], Name: TmPos, dtype: object)']"
Thomas Meunier,,Right-Back
Alexander Meyer,,Goalkeeper
Sven Michel,,Centre-Forward
Alex Mighten,,Left Winger
Tommaso Milanese,,Central Midfield
Nikola Milenković,,Centre-Back
Lewis Miley,,"['Series([], Name: TmPos, dtype: object)']"
Arkadiusz Milik,,Centre-Forward
Sergej Milinković-Savić,,Central Midfield
Vanja Milinković-Savić,,Goalkeeper
Éder Militão,,Centre-Back
Luka Milivojević,,Defensive Midfield
Luis Milla,,Central Midfield
Pere Milla,,Left Winger
Enzo Millot,,Central Midfield
James Milner,,Central Midfield
Marko Milovanović,,Centre-Forward
Kim Min-jae,,Centre-Back
Yerry Mina,,Centre-Back
Takumi Minamino,,Left Winger
Tyrone Mings,,Centre-Back
Óscar Mingueza,,Centre-Back
Rafa Mir,,Centre-Forward
Aleksei Miranchuk,,Attacking Midfield
Juan Miranda,,Left-Back
Antonio Mirante,,Goalkeeper
Fabio Miretti,,Central Midfield
Filippo Missori,,Right-Back
Tyrick Mitchell,,Left-Back
Kaoru Mitoma,,Left Winger
Aleksandar Mitrović,,Centre-Forward
Stefan Mitrović,,Centre-Back
Maximilian Mittelstädt,,Left-Back
Henrikh Mkhitaryan,,Attacking Midfield
Anthony Modeste,,Centre-Forward
Luka Modrić,,Central Midfield
Terem Moffi,,Centre-Forward
Mostafa Mohamed,,Centre-Forward
Tobias Mohr,,Left Winger
Johan Mojica,,Left-Back
Clinton Mola,,Defensive Midfield
Nahuel Molina,,Right-Back
Salvatore Molina,,Right WingBack
Florent Mollet,,Attacking Midfield
Jon Moncayola,,Central Midfield
Monchu,,Central Midfield
César Montes,,Centre-Back
Daniele Montevago,,Centre-Forward
Gonzalo Montiel,,Right-Back
Lorenzo Montipò,,Goalkeeper
Martín Montoya,,Right-Back
Kieffer Moore,,Centre-Forward
Andrew Moran,,Attacking Midfield
Álvaro Morata,,Centre-Forward
Jon Morcillo,,Left Winger
Alberto Moreno,,Left-Back
Álex Moreno,,Left-Back
Diego Moreno,,Defensive Midfield
Gerard Moreno,,Centre-Forward
Marlos Moreno,,Right Winger
Tete Morente,,Left Winger
Ilaix Moriba,,Central Midfield
Manu Morlanes,,Central Midfield
Nikola Moro,,Defensive Midfield
Loren Morón,,Centre-Forward
Cristhian Mosquera,,Centre-Back
Dany Mota,,Centre-Forward
Lebo Mothiba,,Centre-Forward
Youssoufa Moukoko,,Centre-Forward
Steve Mounié,,Centre-Forward
Mason Mount,,Attacking Midfield
Lucas Moura,,Right Winger
Bevic Moussiti-Oko,,Centre-Forward
João Moutinho,,Central Midfield
João Moutinho,,Left-Back
Samuel Moutoussamy,,Central Midfield
Divin Mubama,,Centre-Forward
Mykhailo Mudryk,,Left Winger
François Mughe,,"['Series([], Name: TmPos, dtype: object)']"
Nordi Mukiele,,Right-Back
Mert Müldür,,Right-Back
Florian Müller,,Goalkeeper
Thomas Müller,,Second Striker
Abdul Mumin,,Centre-Back
Marshall Munetsi,,Defensive Midfield
Iker Muniain,,Left Winger
Aihen Muñoz,,Left-Back
Álvaro Muñoz,,Centre-Forward
Iker Muñoz,,Central Midfield
Pablo Muñoz,,Second Striker
Luis Muriel,,Centre-Forward
Jeison Murillo,,Centre-Back
Vedat Muriqi,,Centre-Forward
Jacob Murphy,,Right Winger
Nicola Murru,,Left-Back
Yunus Musah,,Central Midfield
Jamal Musiala,,Attacking Midfield
Juan Musso,,Goalkeeper
Marlon Mustapha,,Centre-Forward
Yvon Mvogo,,Goalkeeper
Enock Mwepu,,Central Midfield
Francisco Mwepu,,"['Series([], Name: TmPos, dtype: object)']"
Vitaliy Mykolenko,,Left-Back
Joakim Mæhle,,Right-Back
Obite N'Dicka,,Centre-Back
Nathan N'Goumou,,Right Winger
Stanley N'Soki,,Centre-Back
Herculano Nabian,,Centre-Forward
Nacho,,Centre-Back
Nikolas Nartey,,Central Midfield
Juanjo Narváez,,Centre-Forward
Matija Nastasić,,Centre-Back
Roberto Navarro,,Attacking Midfield
Jesús Navas,,Right-Back
Keylor Navas,,Goalkeeper
Michel Ndary Adopo,,Central Midfield
Youssouf Ndayishimiye,,Centre-Back
Papa Ndiaga Yade,,Second Striker
Wilfred Ndidi,,Defensive Midfield
Tanguy Ndombele,,Central Midfield
Álvaro Negredo,,Centre-Forward
Reiss Nelson,,Right Winger
Ilija Nestorovski,,Centre-Forward
Neto,,Goalkeeper
Pedro Neto,,Left Winger
Luca Netz,,Left-Back
Manuel Neuer,,Goalkeeper
Florian Neuhaus,,Central Midfield
Rúben Neves,,Defensive Midfield
Neymar,,Left Winger
Jessic Ngankam,,Centre-Forward
Cyril Ngonge,,Right Winger
Moussa Niakhate,,Centre-Back
Ibrahima Niane,,Centre-Forward
M'Baye Niang,,Centre-Forward
Tanguy Nianzou,,Centre-Back
Rasmus Nicolaisen,,Centre-Back
Hans Nicolussi Caviglia,,Central Midfield
Florian Niederlechner,,Centre-Forward
Saúl Ñíguez,,Central Midfield
Dimitris Nikolaou,,Centre-Back
Fernando Niño,,Centre-Forward
Rasmus Nissen,,Right-Back
Justin Njinmah,,Right Winger
Eddie Nketiah,,Centre-Forward
Christopher Nkunku,,Second Striker
Felix Nmecha,,Attacking Midfield
Lukas Nmecha,,Centre-Forward
Arnaud Nordin,,Left Winger
Riad Nouri,,Right Winger
Hugo Novoa,,Right Winger
Samuel Ntanda,,"['Series([], Name: TmPos, dtype: object)']"
Randy Ntekja,,Attacking Midfield
Alexander Nübel,,Goalkeeper
Matheus Nunes,,Central Midfield
Darwin Núñez,,Centre-Forward
Unai Núñez,,Centre-Back
Bram Nuytinck,,Centre-Back
Ethan Nwaneri,,Attacking Midfield
Gerzino Nyamsi,,Centre-Back
Ørjan Nyland,,Goalkeeper
M'Bala Nzola,,Centre-Forward
Christian Nørgaard,,Defensive Midfield
Lewis O'Brien,,Central Midfield
Pedro Obiang,,Central Midfield
Jan Oblak,,Goalkeeper
Brian Ocampo,,Left Winger
Lucas Ocampos,,Left Winger
Guillermo Ochoa,,Goalkeeper
Wilson Odobert,,Left Winger
Álvaro Odriozola,,Right-Back
Tim Oermann,,Centre-Back
Odeluga Offiah,,Centre-Back
Angelo Ogbonna,,Centre-Back
Florent Ogier,,Centre-Back
Marios Oikonomou,,Centre-Back
David Okereke,,Centre-Forward
Caleb Okoli,,Centre-Back
Olasagasti,,Central Midfield
Lucas Olaza,,Left-Back
Finn Ole Becker,,Central Midfield
Mathias Olesen,,Central Midfield
Michael Olise,,Right Winger
Brian Oliván,,Left-Back
Lucas Oliveira Rosa,,Right-Back
Mathías Olivera,,Left-Back
Dani Olmo,,Attacking Midfield
Jan Olschowsky,,
Robin Olsen,,Goalkeeper
Warmed Omari,,Centre-Back
Jonas Omlin,,Goalkeeper
Ado Onaiwu,,Centre-Forward
Amadou Onana,,Defensive Midfield
André Onana,,Goalkeeper
Jean Onana,,Defensive Midfield
Karim Onisiwo,,Centre-Forward
Josh Onomah,,Central Midfield
Paul Onuachu,,Centre-Forward
Frank Onyeka,,Central Midfield
Loïs Openda,,Centre-Forward
Willi Orban,,Centre-Back
Ivan Ordets,,Centre-Back
Divock Origi,,Centre-Forward
Aimar Oroz,,Attacking Midfield
Mislav Oršić,,Left Winger
Riccardo Orsolini,,Right Winger
Stefan Ortega,,Goalkeeper
Pedro Ortiz,,Central Midfield
Jordi Osei-Tutu,,Right WingBack
Victor Osimhen,,Centre-Forward
Patrick Osterhage,,Central Midfield
Paulo Otávio,,Left-Back
Dango Ouattara,,Right Winger
Remi Oudin,,Right Winger
Zinédine Ould Khaled,,Defensive Midfield
Azzedine Ounahi,,Central Midfield
Adam Ounas,,Right Winger
Thomas Ouwejan,,Left-Back
Reece Oxford,,Centre-Back
Alex Oxlade-Chamberlain,,Central Midfield
Mikel Oyarzabal,,Left Winger
Salih Özcan,,Defensive Midfield
Cenk Özkacar,,Centre-Back
David Ozoh,,Defensive Midfield
Levin Öztunalı,,Central Midfield
Fernando Pacheco,,Goalkeeper
Jon Pacheco,,Centre-Back
Gonçalo Paciência,,Centre-Forward
Simone Pafundi,,Attacking Midfield
Exequiel Palacios,,Central Midfield
Helibelton Palacios,,Right-Back
Ante Palaversa,,Central Midfield
Isaac Palazón Camacho,,Right Winger
João Palhinha,,Defensive Midfield
Nicolas Pallois,,Centre-Back
Cole Palmer,,Attacking Midfield
Erik Palmer-Brown,,Centre-Back
Emerson Palmieri,,Left-Back
Miloš Pantović,,Attacking Midfield
Flavio Paoletti,,Defensive Midfield
Antonios Papadopoulos,,Defensive Midfield
Lucas Paquetá,,Attacking Midfield
Aitor Paredes,,Centre-Back
Kevin Paredes,,Left Winger
Leandro Paredes,,Defensive Midfield
Daniel Parejo,,Central Midfield
Fabiano Parisi,,Left-Back
Moises Parra Gutierrez,,Left Winger
Raúl Parra,,Right-Back
Thomas Partey,,Defensive Midfield
Marco Pašalić,,Right Midfield
Mario Pašalić,,Attacking Midfield
Pascu,,"['Series([], Name: TmPos, dtype: object)']"
Felix Passlack,,Right-Back
Javier Pastore,,Attacking Midfield
Patric,,Centre-Back
Rui Patrício,,Goalkeeper
Nathan Patterson,,Right-Back
Paulinho,,Central Midfield
Gabriel Paulista,,Centre-Back
Benjamin Pavard,,Right-Back
Jiří Pavlenka,,Goalkeeper
Dimitri Payet,,Attacking Midfield
Ben Pearson,,Central Midfield
Kristian Pedersen,,Left-Back
Mads Pedersen,,Left-Back
Alfonso Pedraza,,Left-Back
Pedri,,Central Midfield
Pedro,,Right Winger
Adrià Pedrosa,,Left-Back
Jordan Pefok,,Centre-Forward
Gianluca Pegolo,,Goalkeeper
Dženan Pejčinović,,"['Series([], Name: TmPos, dtype: object)']"
Peter Pekarík,,Right-Back
Pietro Pellegri,,Centre-Forward
Lorenzo Pellegrini,,Attacking Midfield
Luca Pellegrini,,Left-Back
Théo Pellenard,,Centre-Back
Facundo Pellistri,,Right Winger
Timothee Pembele,,Right-Back
Iñaki Peña,,Goalkeeper
Rubén Peña,,Right-Back
Patrick Pentz,,Goalkeeper
Nicolas Pépé,,Right Winger
Ricardo Pepi,,Centre-Forward
Pepín,,Central Midfield
Alberto Perea,,Left Winger
Juan Perea,,Centre-Forward
Andreas Pereira,,Attacking Midfield
Brayann Pereira,,Right-Back
Danilo Pereira,,Defensive Midfield
Mathias Pereira Lage,,Right Winger
Ricardo Pereira,,Right-Back
Roberto Pereyra,,Attacking Midfield
Ayoze Pérez,,Second Striker
Carles Pérez,,Right Winger
Francisco Perez,,Right Winger
Kike Pérez,,Central Midfield
Lucas Pérez,,Centre-Forward
Luis Pérez,,Right-Back
Nehuén Pérez,,Centre-Back
Simone Perilli,,Goalkeeper
Mattia Perin,,Goalkeeper
Samuele Perisan,,Goalkeeper
Ivan Perišić,,Left WingBack
Romain Perraud,,Left-Back
Gaëtan Perrin,,Right Winger
Lucas Perrin,,Centre-Back
Máximo Perrone,,Defensive Midfield
Matteo Pessina,,Attacking Midfield
Andrea Petagna,,Centre-Forward
Nils Petersen,,Centre-Forward
Lukas Petkov,,Right Winger
Cameron Peupion,,"['Series([], Name: TmPos, dtype: object)']"
Germán Pezzella,,Centre-Back
Giuseppe Pezzella,,Left-Back
Luca Pfeiffer,,Centre-Forward
Maximilian Philipp,,Second Striker
Kalvin Phillips,,Defensive Midfield
Nathaniel Phillips,,Centre-Back
Krzysztof Piątek,,Centre-Forward
Roberto Piccoli,,Centre-Forward
Charles Pickel,,Defensive Midfield
Jordan Pickford,,Goalkeeper
Amos Pieper,,Centre-Back
Ronaël Pierre-Gabriel,,Right-Back
Andrea Pinamonti,,Centre-Forward
Ethan Pinnock,,Centre-Back
Yeremi Pino,,Left Winger
Gerard Piqué,,Centre-Back
Lorenzo Pirola,,Centre-Back
Niccolò Pisilli,,Central Midfield
Marko Pjaca,,Left Winger
Óscar Plano,,Right Winger
Gonzalo Plata,,Right Winger
Marvin Plattenhardt,,Left-Back
Alassane Pléa,,Centre-Forward
Tommaso Pobega,,Central Midfield
Daniel Podence,,Right Winger
Paul Pogba,,Central Midfield
Joel Pohjanpalo,,Centre-Forward
Matteo Politano,,Right Winger
Sebastian Polter,,Centre-Forward
Ezequiel Ponce,,Centre-Forward
Julien Ponceau,,Attacking Midfield
Marin Pongračić,,Centre-Back
Nick Pope,,Goalkeeper
Łukasz Poręba,,Defensive Midfield
Jackson Porozo,,Centre-Back
Pedro Porro,,Right-Back
Francisco Portillo,,Right Winger
Portu,,Right Winger
Stefan Posch,,Centre-Back
Yussuf Poulsen,,Centre-Forward
José Pozo,,Attacking Midfield
Manuel Pozo,,Right Winger
Alejandro Pozo Pozo,,Right-Back
Dennis Praet,,Central Midfield
Abdón Prats,,Centre-Forward
Sanjin Prcić,,Central Midfield
Isaac Price,,Central Midfield
Grischa Prömel,,Central Midfield
Ivan Provedel,,Goalkeeper
Javi Puado,,Left Winger
Mehdi Puch Herrantz,,Defensive Midfield
Tymoteusz Puchacz,,Left-Back
Arnau Puigmal,,Central Midfield
Christian Pulisic,,Right Winger
Ignacio Pussetto,,Right Winger
Niklas Pyyhtiä,,Central Midfield
Fabio Quagliarella,,Centre-Forward
Giacomo Quagliata,,Left-Back
Eduardo Quaresma,,Centre-Back
Joshua Quarshie,,Centre-Back
Ghjuvanni Quilichini,,Goalkeeper
Domingos Quina,,Central Midfield
Rubén Quintanilla,,"['Series([], Name: TmPos, dtype: object)']"
Adrien Rabiot,,Central Midfield
Nemanja Radonjić,,Left Winger
Ivan Radovanović,,Defensive Midfield
Ionuț Radu,,Goalkeeper
Ștefan Radu,,Centre-Back
Antonio Raillo,,Centre-Back
Antonio Raimondo,,Centre-Forward
Predrag Rajković,,Goalkeeper
Ivan Rakitić,,Central Midfield
Diant Ramaj,,Goalkeeper
Largie Ramazani,,Left Winger
Simon Ramet,,Right-Back
Adil Rami,,Centre-Back
Chris Ramos,,Centre-Forward
Sergio Ramos,,Centre-Back
Aaron Ramsdale,,Goalkeeper
Aaron Ramsey,,Central Midfield
Jacob Ramsey,,Central Midfield
Luca Ranieri,,Left-Back
Andrea Ranocchia,,Centre-Back
Filippo Ranocchia,,Central Midfield
Lilian Raolisoa,,Right-Back
Raphinha,,Right Winger
Nicolai Rapp,,Central Midfield
Elba Rashani,,Left Winger
Marcus Rashford,,Left Winger
Giacomo Raspadori,,Second Striker
Rafael Ratão,,Left Winger
David Raum,,Left-Back
Nicola Ravaglia,,Goalkeeper
Rayan Raveloson,,Defensive Midfield
David Raya,,Goalkeeper
Tim Ream,,Centre-Back
Ante Rebić,,Left Winger
Arkadiusz Reca,,Left-Back
Nathan Redmond,,Left Winger
Harrison Reed,,Central Midfield
Sergio Reguilón,,Left-Back
Bobby Reid,,Attacking Midfield
Pepe Reina,,Goalkeeper
Jeff Reine-Adélaïde,,Attacking Midfield
Reinier,,Attacking Midfield
Rocco Reitz,,Central Midfield
Karim Rekik,,Centre-Back
Álex Remiro,,Goalkeeper
Panagiotis Retsos,,Centre-Back
Marco Reus,,Attacking Midfield
Alejandro Revuelta Montero,,Centre-Back
Elvis Rexhbeçaj,,Central Midfield
Gio Reyna,,Attacking Midfield
Chadi Riad,,Centre-Back
Nico Ribaudo,,Left Winger
Alexsandro Ribeiro,,Centre-Back
Franck Ribéry,,Left Winger
Samuele Ricci,,Defensive Midfield
Declan Rice,,Defensive Midfield
Chris Richards,,Centre-Back
Richarlison,,Centre-Forward
Marco Richter,,Right Winger
Diego Rico,,Left-Back
Jaïro Riedewald,,Defensive Midfield
Manuel Riemann,,Goalkeeper
Tomás Rincón,,Defensive Midfield
Rémy Riou,,Goalkeeper
Renaud Ripart,,Attacking Midfield
Rodrigo Riquelme,,Right Winger
Matt Ritchie,,Left-Back
Sergi Roberto,,Central Midfield
Lucas Robertone,,Central Midfield
Andrew Robertson,,Left-Back
Antonee Robinson,,Left-Back
Joel Robles,,Goalkeeper
Joel Roca,,Left Winger
Marc Roca,,Defensive Midfield
Enzo Roco,,Centre-Back
Marek Rodák,,Goalkeeper
Sebastian Rode,,Central Midfield
Joe Rodon,,Centre-Back
Rodri,,Defensive Midfield
Rodri,,Attacking Midfield
Rodrigo,,Centre-Forward
Ángel Rodríguez,,Centre-Forward
Óscar Rodríguez Arnaiz,,Attacking Midfield
Dani Rodríguez,,Attacking Midfield
Guido Rodríguez,,Defensive Midfield
Miguel Rodríguez,,Right Winger
Pablo Rodríguez,,Second Striker
Ricardo Rodríguez,,Centre-Back
Rodrygo,,Right Winger
Mads Roerslev,,Right-Back
Agustín Rogel,,Centre-Back
Rogério,,   Left-Back
Merlin Röhl,,Central Midfield
Tony Rölke,,"['Series([], Name: TmPos, dtype: object)']"
Filippo Romagna,,Centre-Back
Alessio Romagnoli,,Centre-Back
Simone Romagnoli,,Centre-Back
Leonardo Román,,Goalkeeper
Cristian Romero,,Centre-Back
Iván Romero,,Centre-Forward
Luka Romero,,Right Winger
Oriol Romeu,,Defensive Midfield
Cristiano Ronaldo,,Centre-Forward
Connor Ronan,,Central Midfield
Salomón Rondón,,Centre-Forward
Valentin Rongier,,Central Midfield
Marten de Roon,,Defensive Midfield
Pablo Rosario,,Defensive Midfield
Francesco Rossi,,Goalkeeper
Tom Rothe,,Left-Back
Joe Rothwell,,Central Midfield
Anthony Rouault,,Centre-Back
Jérôme Roussillon,,Left-Back
Nicolò Rovella,,Defensive Midfield
Amir Rrahmani,,Centre-Back
Ruan,, Centre-Back
Rubén,,Goalkeeper
Antonio Rüdiger,,Centre-Back
Sebastian Rudy,,Defensive Midfield
Daniele Rugani,,Centre-Back
Matteo Ruggeri,,Left-Back
Mário Rui,,Left-Back
Aitor Ruibal,,Right Winger
Kays Ruiz,,Central Midfield
Fabián Ruiz Peña,,Central Midfield
Víctor Ruiz,,Centre-Back
Gerónimo Rulli,,Goalkeeper
Alessandro Russo,,Goalkeeper
Franco Russo,,Centre-Back
Georginio Rutter,,Centre-Forward
Julian Ryerson,,Right-Back
Frederik Rønnow,,Centre-Back
José Sá,,Goalkeeper
Youssouf Sabaly,,Right-Back
Halid Šabanović,,Right-Back
Abdelhamid Sabiri,,Attacking Midfield
Marcel Sabitzer,,Central Midfield
Falaye Sacko,,Right-Back
Umar Sadiq,,Centre-Forward
Alexis Saelemaekers,,Right Winger
Wesley Saïd,,Left Winger
Allan Saint-Maximin,,Left Winger
Théo Sainte-Luce,,Left-Back
Samuel Sáiz,,Left Winger
Bukayo Saka,,Right Winger
Hamza Sakhi,,Attacking Midfield
Mamadou Sakho,,Centre-Back
Jacopo Sala,,Central Midfield
Ibrahim Salah,,Left Winger
Mohamed Salah,,Right Winger
Amine Salama,,Centre-Forward
Kike Salas,,Centre-Back
William Saliba,,Centre-Back
Dikeni Salifou,,Defensive Midfield
Mohammed Salisu,,Centre-Back
Roland Sallai,,Right Winger
Yoann Salmier,,Centre-Back
Salvi,,Right Winger
Lazar Samardzic,,Attacking Midfield
Diadie Samassékou,,Defensive Midfield
Mama Samba Baldé,,Right Winger
Brice Samba,,Goalkeeper
Albert Sambi Lokonga,,Central Midfield
Junior Sambia,,Right-Back
Samuel,,Defensive Midfield
Fede San Emeterio,,Central Midfield
Antonio Sanabria,,Centre-Forward
Leandro Sanca,,Right Winger
Oihan Sancet,,Second Striker
Renato Sanches,,Central Midfield
Alexis Sánchez,,Left Winger
Antonio Sánchez,,Central Midfield
Davinson Sánchez,,Centre-Back
Iván Sánchez,,Right Winger
Javi Sánchez,,Centre-Back
Manu Sánchez,,Left-Back
Robert Sánchez,,Goalkeeper
Jadon Sancho,,Left Winger
Alex Sandro,,Left-Back
Leroy Sané,,Left Winger
Sidi Sané,,Right Winger
Morgan Sanson,,Central Midfield
Nicola Sansone,,Left Winger
Baptiste Santamaria,,Central Midfield
Riccardo Saponara,,Attacking Midfield
Pablo Sarabia,,Right Winger
Jeremy Sarmiento,,Attacking Midfield
Amin Sarr,,Centre-Forward
Bouna Sarr,,Right-Back
Malang Sarr,,Centre-Back
Mamadou Sarr,,"['Series([], Name: TmPos, dtype: object)']"
Mouhamadou Sarr,,Goalkeeper
Martin Satriano,,Centre-Forward
Téji Savanier,,Central Midfield
Esteban Saveljich,,Centre-Back
Stefan Savić,,Centre-Back
Joe Scally,,Right-Back
Giorgio Scalvini,,Centre-Back
Gianluca Scamacca,,Centre-Forward
Gustavo Scarpa,,Attacking Midfield
Kevin Schade,,Right Winger
András Schäfer,,Central Midfield
Fabian Schär,,Centre-Back
Derry Scherhant,,Centre-Forward
Patrik Schick,,Centre-Forward
Kingsley Schindler,,Right Winger
Xaver Schlager,,Central Midfield
Keven Schlotterbeck,,Centre-Back
Nico Schlotterbeck,,Centre-Back
Jeffrey Schlupp,,Left Winger
Kasper Schmeichel,,Goalkeeper
Jonathan Schmid,,Right-Back
Romano Schmid,,Attacking Midfield
Kenneth Schmidt,,Centre-Back
Niklas Schmidt,,Attacking Midfield
Benno Schmitz,,Right-Back
Jerdy Schouten,,Defensive Midfield
Perr Schuurs,,Centre-Back
Marvin Schwäbe,,Goalkeeper
Alexander Schwolow,,Goalkeeper
Manuel Sebastián,,"['Series([], Name: TmPos, dtype: object)']"
Demba Seck,,Right Winger
Haris Seferović,,Centre-Forward
Telasco Segovia,,"['Series([], Name: TmPos, dtype: object)']"
Jacopo Segre,,Central Midfield
Paul Seguin,,Central Midfield
Alidu Seidu,,Centre-Back
Davie Selke,,Centre-Forward
Matz Sels,,Goalkeeper
Nélson Semedo,,Right-Back
Vivaldo Semedo,,Centre-Forward
Antoine Semenyo,,Centre-Forward
Marvin Senaya,,Right-Back
Marcos Senesi,,Centre-Back
Stefano Sensi,,Central Midfield
Jaime Seoane,,Central Midfield
Luigi Sepe,,Goalkeeper
Suat Serdar,,Central Midfield
Leonardo Sernicola,,Left-Back
Ryan Sessegnon,,Left WingBack
Stephan El Shaarawy,,Left Winger
Eniss Shabani,,"['Series([], Name: TmPos, dtype: object)']"
Luke Shaw,,Left-Back
Jonjo Shelvey,,Central Midfield
Eldor Shomurodov,,Centre-Forward
Kaj Sierhuis,,Centre-Forward
Vincent Sierro,,Central Midfield
Kiliann Sildillia,,Right-Back
André Silva,,Centre-Forward
Bernardo Silva,,Attacking Midfield
Caio Henrique Oliveira Silva,,Right Winger
David Silva,,Attacking Midfield
Rui Silva,,Goalkeeper
Thiago Silva,,Centre-Back
Marco Silvestri,,Goalkeeper
Abdallah Sima,,Right Winger
Mohamed Simakan,,Centre-Back
Giovanni Simeone,,Centre-Forward
Ellis Simms,,Centre-Forward
Simo,,Centre-Back
Moses Simon,,Left Winger
Unai Simón,,Goalkeeper
Lassine Sinayoko,,Centre-Forward
Wilfried Singo,,Right-Back
Luis Sinisterra,,Left Winger
Daley Sinkgraven,,Left-Back
Tobias Sippel,,Goalkeeper
Hugo Siquet,,Right-Back
Salvatore Sirigu,,Goalkeeper
Ibrahima Sissoko,,Defensive Midfield
Moussa Sissoko,,Central Midfield
Tim Skarke,,Right Winger
Ellyes Skhiri,,Defensive Midfield
Oliver Skipp,,Defensive Midfield
Leo Skiri Østigård,,Centre-Back
Łukasz Skorupski,,Goalkeeper
Robert Skov,,Right Winger
Milan Škriniar,,Centre-Back
Naatan Skyttä,,Attacking Midfield
Islam Slimani,,Centre-Forward
Chris Smalling,,Centre-Back
Adam Smith,,Right-Back
Emile Smith Rowe,,Attacking Midfield
Hrvoje Smolčić,,Centre-Back
Cédric Soares,,Right-Back
Danilo Soares,,Left-Back
Eduard Sobol,,Left-Back
Rubén Sobrino,,Centre-Forward
Alex Sola,,Right-Back
Dominic Solanke,,Centre-Forward
Augusto Solari,,Right Winger
Ola Solbakken,,Right Winger
Nikola Soldo,,Centre-Back
Carlos Soler,,Central Midfield
François-Joseph Sollacaro,,Goalkeeper
Manor Solomon,,Left Winger
Yann Sommer,,Goalkeeper
Brandon Soppy,,Right-Back
David Soria,,Goalkeeper
Roberto Soriano,,Attacking Midfield
Borna Sosa,,Left-Back
Joaquin Sosa,,Centre-Back
Hugo Sotelo,,Right Winger
Florian Sotoca,,Centre-Forward
Riccardo Sottil,,Left Winger
Tomáš Souček,,Defensive Midfield
Matìas Soulé,,Right Winger
Moussa Soumano,,Centre-Forward
Adama Soumaoro,,Centre-Back
Boubakary Soumaré,,Defensive Midfield
Arnaud Souquet,,Right-Back
Dyego Sousa,,Centre-Forward
Harry Souttar,,Centre-Back
